X3.651847,Y1.465179,R-46.012486
X3.651848,Y1.465178,R-46.012486
X3.651848,Y1.465178,R-46.012486
X3.481678,Y3.912727,R-45.477097
X3.294935,Y6.381186,R-44.267723
X3.294936,Y6.381185,R-44.267723
X3.091123,Y8.873824,R-42.282433
X3.091122,Y8.873825,R-42.282433
X3.091121,Y8.873826,R-42.282433
X2.905253,Y10.783803,R-39.485165
X2.712449,Y12.709507,R-36.189014
X2.712450,Y12.709506,R-36.189014
X2.544412,Y14.039344,R-32.499073
X2.544413,Y14.039343,R-32.499073
X2.544413,Y14.039342,R-32.499073
X2.372266,Y15.380420,R-28.451803
X2.200170,Y16.728949,R-24.170048
X2.200171,Y16.728949,R-24.170048
X2.033056,Y18.080093,R-19.810255
X2.033057,Y18.080093,R-19.810255
X1.872310,Y19.432484,R-15.415726
X1.872310,Y19.432484,R-15.415726
X1.872310,Y19.432484,R-15.415726
X1.718479,Y20.785559,R-11.003366
X1.575271,Y22.135380,R-6.700133
X1.575270,Y22.135380,R-6.700133
X1.575270,Y22.135380,R-6.700133
X1.455502,Y23.468138,R-2.955067
X1.362838,Y24.169863,R0.070661
X1.362838,Y24.169863,R0.070661
X0.688517,Y24.848015,R2.264769
X0.688518,Y24.848015,R2.264769
X0.644799,Y24.891735,R3.691425
X0.644798,Y24.891737,R3.691425
X0.621373,Y24.915161,R4.455760
X0.621373,Y24.915161,R4.455760
X0.603526,Y23.706957,R4.774575
X0.603525,Y23.706957,R4.774575
X0.602800,Y23.707682,R4.798216
X0.602800,Y23.707682,R4.798216
X0.602801,Y23.707682,R4.798216
X0.601674,Y23.095842,R4.705130
X1.210675,Y22.479097,R4.578341
X1.210673,Y22.479099,R4.578341
X1.209912,Y21.867083,R4.479485
X1.209911,Y21.867085,R4.479485
X1.207793,Y21.256470,R4.426388
X1.207795,Y21.256468,R4.426388
X1.207796,Y21.256466,R4.426388
X1.205966,Y20.645615,R4.365665
X1.208991,Y20.642590,R4.266926
X1.208990,Y20.642590,R4.266926
X1.209239,Y20.029846,R4.144414
X1.209237,Y20.029848,R4.144414
X1.209064,Y19.417614,R4.038560
X1.209063,Y19.417614,R4.038560
X1.206036,Y18.808245,R4.026182
X1.206036,Y18.808245,R4.026182
X1.206035,Y18.808245,R4.026182
X2.415998,Y17.584534,R4.063507
X2.407186,Y16.368389,R4.123371
X2.407186,Y16.368389,R4.123371
X3.005507,Y15.150327,R4.237609
X3.005505,Y15.150328,R4.237609
X3.005504,Y15.150329,R4.237609
X2.995636,Y13.934909,R4.321037
X3.594985,Y12.715424,R4.393110
X3.594984,Y12.715425,R4.393110
X3.578592,Y10.893304,R4.551102
X3.578591,Y10.893305,R4.551102
X3.562702,Y9.683093,R4.804341
X3.562703,Y9.683092,R4.804341
X3.547035,Y8.472268,R5.037544
X3.547035,Y8.472269,R5.037544
X3.534557,Y7.871282,R5.298465
X3.534558,Y7.871281,R5.298465
X3.534558,Y7.871280,R5.298465
X3.520060,Y6.658561,R5.469650
X3.513806,Y6.051163,R5.521330
X3.513805,Y6.051164,R5.521330
X3.508390,Y5.442907,R5.544943
X3.508391,Y5.442906,R5.544943
X3.501594,Y4.222493,R5.465097
X3.501594,Y4.222493,R5.465097
X3.502893,Y3.607747,R5.277084
X3.502893,Y3.607746,R5.277084
X3.502894,Y3.607745,R5.277084
X3.501876,Y2.382280,R5.032522
X3.505663,Y1.765465,R4.777110
